"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","12.890","14.9748","1789.21","1.1636","0.0000"
"0.000","0.000","12.890","14.9748","1789.21","1.1636","0.0000"
"0.000","0.000","12.990","14.9616","1791.49","1.1661","0.0000"
"0.000","0.000","12.990","14.9616","1791.49","1.1661","0.0000"
"0.000","0.000","13.080","14.9732","1793.20","1.1663","0.0000"
"0.000","0.000","13.080","14.9732","1793.20","1.1663","0.0000"
"0.000","0.001","13.050","14.9596","1795.92","1.1692","0.0000"
"0.000","0.001","13.050","14.9596","1795.92","1.1692","0.0000"
"0.001","0.002","13.050","14.9724","1797.07","1.1689","0.0343"
"0.001","0.002","13.050","14.9724","1797.07","1.1689","0.0343"
"0.001","0.002","13.080","14.9792","1800.02","1.1703","0.0342"
"0.001","0.002","13.080","14.9792","1800.02","1.1703","0.0342"
"0.001","0.003","13.100","15.0024","1807.39","1.1733","0.0341"
"0.001","0.003","13.100","15.0024","1807.39","1.1733","0.0341"
"0.001","0.003","13.220","15.0688","1814.02","1.1724","0.0339"
"0.001","0.003","13.220","15.0688","1814.02","1.1724","0.0339"
"0.001","0.004","13.230","15.0548","1812.20","1.1723","0.0340"
"0.001","0.004","13.230","15.0548","1812.20","1.1723","0.0340"
"0.001","0.004","13.080","15.0332","1802.76","1.1679","0.0338"
"0.001","0.004","13.080","15.0332","1802.76","1.1679","0.0338"
"0.002","0.005","12.960","15.0284","1793.92","1.1625","0.0670"
"0.002","0.005","12.960","15.0284","1793.92","1.1625","0.0670"
"0.002","0.006","12.830","15.0216","1791.35","1.1614","0.0666"
"0.002","0.006","12.830","15.0216","1791.35","1.1614","0.0666"
"0.002","0.006","12.840","15.0324","1785.52","1.1568","0.0664"
"0.002","0.006","12.840","15.0324","1785.52","1.1568","0.0664"
"0.003","0.007","12.850","15.0192","1782.97","1.1561","0.1000"
"0.003","0.007","12.850","15.0192","1782.97","1.1561","0.1000"
"0.004","0.008","12.820","15.0312","1779.45","1.1529","0.1326"
"0.004","0.008","12.820","15.0312","1779.45","1.1529","0.1326"
"0.004","0.008","12.550","15.0340","1777.55","1.1515","0.1297"
"0.004","0.008","12.550","15.0340","1777.55","1.1515","0.1297"
"0.005","0.008","12.530","15.0480","1782.69","1.1537","0.1613"
"0.005","0.008","12.530","15.0480","1782.69","1.1537","0.1613"
"0.006","0.009","12.670","15.0520","1782.62","1.1534","0.1956"
"0.006","0.009","12.670","15.0520","1782.62","1.1534","0.1956"
"0.006","0.009","12.590","15.0596","1781.56","1.1521","0.1940"
"0.006","0.009","12.590","15.0596","1781.56","1.1521","0.1940"
"0.007","0.010","12.620","15.0400","1782.97","1.1545","0.2278"
"0.007","0.010","12.620","15.0400","1782.97","1.1545","0.2278"
"0.008","0.011","12.500","15.0428","1782.76","1.1542","0.2579"
"0.008","0.011","12.500","15.0428","1782.76","1.1542","0.2579"
"0.009","0.012","12.480","15.0344","1782.34","1.1546","0.2901"
"0.009","0.012","12.480","15.0344","1782.34","1.1546","0.2901"
"0.010","0.012","12.370","15.0596","1777.34","1.1494","0.3179"
"0.010","0.012","12.370","15.0596","1777.34","1.1494","0.3179"
