"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","20.480","0.6604","2887.25","42.5784","0.0000"
"0.000","0.000","20.480","0.6604","2887.25","42.5784","0.0000"
"0.000","0.000","20.480","1.3460","2889.85","20.9094","0.0000"
"0.000","0.000","20.480","1.3460","2889.85","20.9094","0.0000"
"0.000","0.000","20.480","2.0064","2888.36","14.0199","0.0000"
"0.000","0.000","20.480","2.0064","2888.36","14.0199","0.0000"
"0.000","0.000","20.480","2.5824","2892.08","10.9068","0.0000"
"0.000","0.000","20.480","2.5824","2892.08","10.9068","0.0000"
"0.000","0.000","20.480","3.2924","2894.31","8.5614","0.0000"
"0.000","0.000","20.480","3.2924","2894.31","8.5614","0.0000"
"0.001","0.001","20.480","3.8972","2896.92","7.2393","3.0400"
"0.001","0.001","20.480","3.8972","2896.92","7.2393","3.0400"
"0.001","0.001","20.480","4.5292","2893.94","6.2227","1.9367"
"0.001","0.001","20.480","4.5292","2893.94","6.2227","1.9367"
"0.001","0.001","20.480","5.1896","2895.43","5.4336","1.2875"
"0.001","0.001","20.480","5.1896","2895.43","5.4336","1.2875"
"0.001","0.001","20.480","5.7944","2896.36","4.8681","0.9249"
"0.001","0.001","20.480","5.7944","2896.36","4.8681","0.9249"
"0.001","0.001","20.480","6.3704","2899.72","4.4330","0.6960"
"0.001","0.001","20.480","6.3704","2899.72","4.4330","0.6960"
"0.001","0.001","20.480","7.0308","2903.65","4.0221","0.5178"
"0.001","0.001","20.480","7.0308","2903.65","4.0221","0.5178"
"0.001","0.001","20.480","7.7164","2903.46","3.6645","0.3916"
"0.001","0.001","20.480","7.7164","2903.46","3.6645","0.3916"
"0.001","0.002","20.480","8.2276","2906.65","3.4406","0.3231"
"0.001","0.002","20.480","8.2276","2906.65","3.4406","0.3231"
"0.001","0.002","20.480","8.8880","2905.33","3.1835","0.2563"
"0.001","0.002","20.480","8.8880","2905.33","3.1835","0.2563"
"0.001","0.002","20.480","9.4640","2896.36","2.9805","0.2123"
"0.001","0.002","20.480","9.4640","2896.36","2.9805","0.2123"
"0.001","0.002","20.480","10.1244","2897.85","2.7875","0.1734"
"0.001","0.002","20.480","10.1244","2897.85","2.7875","0.1734"
"0.001","0.002","20.480","10.6700","2901.77","2.6486","0.1481"
"0.001","0.002","20.480","10.6700","2901.77","2.6486","0.1481"
"0.001","0.002","20.480","11.2460","2903.09","2.5141","0.1265"
"0.001","0.002","20.480","11.2460","2903.09","2.5141","0.1265"
"0.001","0.002","20.480","11.8780","2903.27","2.3804","0.1074"
"0.001","0.002","20.480","11.8780","2903.27","2.3804","0.1074"
"0.001","0.002","20.480","12.5100","2900.28","2.2578","0.0919"
"0.001","0.002","20.480","12.5100","2900.28","2.2578","0.0919"
"0.001","0.003","20.480","13.1420","2899.72","2.1489","0.0793"
"0.001","0.003","20.480","13.1420","2899.72","2.1489","0.0793"
"0.001","0.003","20.480","13.7468","2901.40","2.0555","0.0693"
"0.001","0.003","20.480","13.7468","2901.40","2.0555","0.0693"
"0.002","0.003","20.480","14.5268","2903.27","1.9464","0.1174"
"0.002","0.003","20.480","14.5268","2903.27","1.9464","0.1174"
"0.002","0.003","20.480","15.1588","2898.22","1.8620","0.1033"
"0.002","0.003","20.480","15.1588","2898.22","1.8620","0.1033"
"0.002","0.003","20.480","15.7636","2893.19","1.7874","0.0919"
"0.002","0.003","20.480","15.7636","2893.19","1.7874","0.0919"
"0.002","0.003","20.480","15.7352","2891.15","1.7894","0.0924"
"0.002","0.003","20.480","15.7352","2891.15","1.7894","0.0924"
"0.002","0.003","20.480","15.6544","2888.92","1.7973","0.0938"
"0.002","0.003","20.480","15.6544","2888.92","1.7973","0.0938"
"0.002","0.004","20.480","15.6544","2893.75","1.8003","0.0938"
"0.002","0.004","20.480","15.6544","2893.75","1.8003","0.0938"
"0.002","0.004","20.480","15.6544","2897.10","1.8023","0.0938"
"0.002","0.004","20.480","15.6544","2897.10","1.8023","0.0938"
"0.002","0.004","20.480","15.5204","2898.22","1.8186","0.0963"
"0.002","0.004","20.480","15.5204","2898.22","1.8186","0.0963"
"0.003","0.004","20.480","15.4916","2896.17","1.8207","0.1450"
"0.003","0.004","20.480","15.4916","2896.17","1.8207","0.1450"
"0.003","0.004","20.480","15.4916","2897.29","1.8214","0.1450"
"0.003","0.004","20.480","15.4916","2897.29","1.8214","0.1450"
"0.003","0.004","20.480","15.4916","2896.73","1.8211","0.1450"
"0.003","0.004","20.480","15.4916","2896.73","1.8211","0.1450"
"0.003","0.004","20.480","15.3980","2898.97","1.8335","0.1476"
"0.003","0.004","20.480","15.3980","2898.97","1.8335","0.1476"
"0.003","0.004","20.480","15.4824","2893.38","1.8200","0.1452"
"0.003","0.004","20.480","15.4824","2893.38","1.8200","0.1452"
"0.003","0.004","20.480","15.3676","2890.22","1.8316","0.1485"
"0.003","0.004","20.480","15.3676","2890.22","1.8316","0.1485"
"0.004","0.004","20.480","15.3140","2882.26","1.8330","0.2002"
"0.004","0.004","20.480","15.3140","2882.26","1.8330","0.2002"
"0.004","0.005","20.480","15.4632","2882.07","1.8152","0.1944"
"0.004","0.005","20.480","15.4632","2882.07","1.8152","0.1944"
"0.004","0.005","20.480","15.3484","2884.48","1.8303","0.1988"
"0.004","0.005","20.480","15.3484","2884.48","1.8303","0.1988"
"0.004","0.005","20.480","15.4580","2879.86","1.8144","0.1946"
"0.004","0.005","20.480","15.4580","2879.86","1.8144","0.1946"
"0.004","0.005","20.480","15.4296","2876.36","1.8155","0.1957"
"0.004","0.005","20.480","15.4296","2876.36","1.8155","0.1957"
"0.004","0.006","20.480","15.4296","2879.86","1.8177","0.1957"
"0.004","0.006","20.480","15.4296","2879.86","1.8177","0.1957"
"0.005","0.006","20.480","15.5140","2885.03","1.8111","0.2407"
"0.005","0.006","20.480","15.5140","2885.03","1.8111","0.2407"
"0.005","0.006","20.480","15.4868","2888.18","1.8162","0.2420"
"0.005","0.006","20.480","15.4868","2888.18","1.8162","0.2420"
"0.005","0.006","20.480","15.5404","2887.62","1.8096","0.2395"
"0.005","0.006","20.480","15.5404","2887.62","1.8096","0.2395"
"0.006","0.006","20.480","15.5404","2888.36","1.8101","0.2874"
"0.006","0.006","20.480","15.5404","2888.36","1.8101","0.2874"
"0.006","0.006","20.480","15.6212","2892.26","1.8032","0.2830"
"0.006","0.006","20.480","15.6212","2892.26","1.8032","0.2830"
"0.006","0.006","20.480","15.5764","2891.15","1.8077","0.2855"
"0.006","0.006","20.480","15.5764","2891.15","1.8077","0.2855"
"0.006","0.007","20.480","15.5204","2893.19","1.8155","0.2886"
"0.006","0.007","20.480","15.5204","2893.19","1.8155","0.2886"
"0.006","0.007","20.480","15.5204","2889.11","1.8129","0.2886"
"0.006","0.007","20.480","15.5204","2889.11","1.8129","0.2886"
"0.006","0.007","20.480","15.5488","2886.70","1.8081","0.2870"
"0.006","0.007","20.480","15.5488","2886.70","1.8081","0.2870"
"0.006","0.007","20.480","15.5760","2882.26","1.8021","0.2855"
"0.006","0.007","20.480","15.5760","2882.26","1.8021","0.2855"
"0.007","0.007","20.480","15.6256","2880.05","1.7950","0.3299"
"0.007","0.007","20.480","15.6256","2880.05","1.7950","0.3299"
"0.007","0.007","20.480","15.6544","2885.96","1.7954","0.3281"
"0.007","0.007","20.480","15.6544","2885.96","1.7954","0.3281"
"0.007","0.007","20.480","15.7104","2885.77","1.7889","0.3246"
"0.007","0.007","20.480","15.7104","2885.77","1.7889","0.3246"
"0.007","0.008","20.480","15.7948","2882.07","1.7771","0.3194"
"0.007","0.008","20.480","15.7948","2882.07","1.7771","0.3194"
"0.007","0.008","20.480","15.8232","2879.49","1.7723","0.3177"
"0.007","0.008","20.480","15.8232","2879.49","1.7723","0.3177"
"0.007","0.008","20.480","15.7388","2880.78","1.7826","0.3229"
"0.007","0.008","20.480","15.7388","2880.78","1.7826","0.3229"
"0.008","0.008","20.480","15.8324","2885.59","1.7750","0.3623"
"0.008","0.008","20.480","15.8324","2885.59","1.7750","0.3623"
"0.008","0.008","20.480","15.7768","2891.33","1.7848","0.3661"
"0.008","0.008","20.480","15.7768","2891.33","1.7848","0.3661"
"0.008","0.008","20.480","15.8632","2888.55","1.7734","0.3602"
"0.008","0.008","20.480","15.8632","2888.55","1.7734","0.3602"
"0.008","0.008","20.480","15.8632","2890.03","1.7743","0.3602"
"0.008","0.008","20.480","15.8632","2890.03","1.7743","0.3602"
"0.008","0.008","20.480","15.8348","2893.19","1.7794","0.3621"
"0.008","0.008","20.480","15.8348","2893.19","1.7794","0.3621"
"0.008","0.008","20.480","15.8652","2890.78","1.7745","0.3600"
"0.008","0.008","20.480","15.8652","2890.78","1.7745","0.3600"
"0.008","0.008","20.480","15.7844","2887.25","1.7814","0.3656"
"0.008","0.008","20.480","15.7844","2887.25","1.7814","0.3656"
"0.008","0.008","20.480","15.8128","2884.66","1.7766","0.3636"
"0.008","0.008","20.480","15.8128","2884.66","1.7766","0.3636"
"0.008","0.009","20.480","15.8128","2884.66","1.7766","0.3636"
"0.008","0.009","20.480","15.8128","2884.66","1.7766","0.3636"
"0.008","0.009","20.480","15.7572","2886.70","1.7842","0.3675"
