"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","5.920","15.2440","896.69","0.5729","0.0000"
"0.000","0.000","5.920","15.2440","896.69","0.5729","0.0000"
"0.000","0.000","5.950","15.2316","897.42","0.5738","0.0000"
"0.000","0.000","5.950","15.2316","897.42","0.5738","0.0000"
"0.000","0.000","6.070","15.2480","898.30","0.5737","0.0000"
"0.000","0.000","6.070","15.2480","898.30","0.5737","0.0000"
"0.000","0.001","6.020","15.2056","898.33","0.5754","0.0000"
"0.000","0.001","6.020","15.2056","898.33","0.5754","0.0000"
"0.000","0.001","5.970","15.2512","898.76","0.5739","0.0000"
"0.000","0.001","5.970","15.2512","898.76","0.5739","0.0000"
"0.001","0.002","5.900","15.2908","898.37","0.5722","0.0145"
"0.001","0.002","5.900","15.2908","898.37","0.5722","0.0145"
"0.001","0.002","5.870","15.2940","899.03","0.5725","0.0145"
"0.001","0.002","5.870","15.2940","899.03","0.5725","0.0145"
"0.001","0.003","5.970","15.2908","897.62","0.5717","0.0147"
"0.001","0.003","5.970","15.2908","897.62","0.5717","0.0147"
"0.001","0.004","5.810","15.2708","896.45","0.5717","0.0143"
"0.001","0.004","5.810","15.2708","896.45","0.5717","0.0143"
"0.001","0.004","5.900","15.2608","896.63","0.5722","0.0146"
"0.001","0.004","5.900","15.2608","896.63","0.5722","0.0146"
"0.001","0.004","5.980","15.2600","896.58","0.5722","0.0148"
"0.001","0.004","5.980","15.2600","896.58","0.5722","0.0148"
"0.002","0.005","5.970","15.2968","896.10","0.5705","0.0292"
"0.002","0.005","5.970","15.2968","896.10","0.5705","0.0292"
"0.002","0.006","5.950","15.3040","897.44","0.5711","0.0291"
"0.002","0.006","5.950","15.3040","897.44","0.5711","0.0291"
"0.003","0.007","5.840","15.2852","899.91","0.5734","0.0430"
"0.003","0.007","5.840","15.2852","899.91","0.5734","0.0430"
"0.003","0.007","5.690","15.2892","899.16","0.5727","0.0420"
"0.003","0.007","5.690","15.2892","899.16","0.5727","0.0420"
"0.004","0.008","5.590","15.3028","897.83","0.5714","0.0549"
"0.004","0.008","5.590","15.3028","897.83","0.5714","0.0549"
"0.004","0.008","5.820","15.3056","896.58","0.5705","0.0570"
"0.004","0.008","5.820","15.3056","896.58","0.5705","0.0570"
"0.005","0.008","5.760","15.2624","895.46","0.5714","0.0711"
"0.005","0.008","5.760","15.2624","895.46","0.5714","0.0711"
"0.006","0.009","5.730","15.2936","893.04","0.5687","0.0844"
"0.006","0.009","5.730","15.2936","893.04","0.5687","0.0844"
"0.006","0.010","5.460","15.2956","889.28","0.5662","0.0805"
"0.006","0.010","5.460","15.2956","889.28","0.5662","0.0805"
"0.007","0.010","5.680","15.3048","887.04","0.5645","0.0974"
"0.007","0.010","5.680","15.3048","887.04","0.5645","0.0974"
"0.008","0.011","5.440","15.2848","886.32","0.5647","0.1069"
"0.008","0.011","5.440","15.2848","886.32","0.5647","0.1069"
"0.009","0.012","5.750","15.2744","882.84","0.5629","0.1273"
"0.009","0.012","5.750","15.2744","882.84","0.5629","0.1273"
"0.010","0.012","5.600","15.2196","883.28","0.5652","0.1394"
"0.010","0.012","5.600","15.2196","883.28","0.5652","0.1394"
"0.011","0.013","5.560","15.2344","884.40","0.5654","0.1519"
"0.011","0.013","5.560","15.2344","884.40","0.5654","0.1519"
"0.011","0.014","5.590","15.2172","884.91","0.5663","0.1532"
"0.011","0.014","5.590","15.2172","884.91","0.5663","0.1532"
"0.012","0.014","5.570","15.2248","883.52","0.5652","0.1662"
"0.012","0.014","5.570","15.2248","883.52","0.5652","0.1662"
"0.013","0.014","5.440","15.2048","881.63","0.5647","0.1765"
"0.013","0.014","5.440","15.2048","881.63","0.5647","0.1765"
"0.013","0.015","5.290","15.1976","879.56","0.5636","0.1720"
"0.013","0.015","5.290","15.1976","879.56","0.5636","0.1720"
"0.014","0.016","5.260","15.2040","875.59","0.5609","0.1838"
"0.014","0.016","5.260","15.2040","875.59","0.5609","0.1838"
"0.015","0.017","5.370","15.1580","877.33","0.5637","0.2029"
"0.015","0.017","5.370","15.1580","877.33","0.5637","0.2029"
"0.016","0.017","5.170","15.1300","878.58","0.5655","0.2096"
"0.016","0.017","5.170","15.1300","878.58","0.5655","0.2096"
"0.017","0.017","5.150","15.1176","877.98","0.5656","0.2226"
"0.017","0.017","5.150","15.1176","877.98","0.5656","0.2226"
"0.017","0.018","5.270","15.1240","880.72","0.5671","0.2273"
"0.017","0.018","5.270","15.1240","880.72","0.5671","0.2273"
"0.018","0.019","5.400","15.1252","880.04","0.5666","0.2466"
"0.018","0.019","5.400","15.1252","880.04","0.5666","0.2466"
"0.018","0.019","4.890","15.1260","879.27","0.5661","0.2232"
"0.018","0.019","4.890","15.1260","879.27","0.5661","0.2232"
"0.018","0.020","5.000","15.1076","878.04","0.5660","0.2291"
"0.018","0.020","5.000","15.1076","878.04","0.5660","0.2291"
"0.019","0.020","4.930","15.1092","874.62","0.5638","0.2384"
"0.019","0.020","4.930","15.1092","874.62","0.5638","0.2384"
"0.020","0.021","5.220","15.1148","872.47","0.5622","0.2654"
"0.020","0.021","5.220","15.1148","872.47","0.5622","0.2654"
"0.021","0.022","5.140","15.1304","869.55","0.5597","0.2734"
"0.021","0.022","5.140","15.1304","869.55","0.5597","0.2734"
"0.022","0.023","5.180","15.1496","865.56","0.5564","0.2878"
"0.022","0.023","5.180","15.1496","865.56","0.5564","0.2878"
"0.023","0.023","5.050","15.1588","861.61","0.5536","0.2926"
"0.023","0.023","5.050","15.1588","861.61","0.5536","0.2926"
"0.023","0.024","4.890","15.1724","859.31","0.5516","0.2827"
"0.023","0.024","4.890","15.1724","859.31","0.5516","0.2827"
"0.023","0.024","4.690","15.1404","857.46","0.5516","0.2729"
"0.023","0.024","4.690","15.1404","857.46","0.5516","0.2729"
"0.024","0.025","4.970","15.1176","855.63","0.5512","0.3031"
"0.024","0.025","4.970","15.1176","855.63","0.5512","0.3031"
"0.024","0.026","4.500","15.1196","851.74","0.5486","0.2743"
"0.024","0.026","4.500","15.1196","851.74","0.5486","0.2743"
"0.026","0.026","4.740","15.0940","847.67","0.5469","0.3145"
"0.026","0.026","4.740","15.0940","847.67","0.5469","0.3145"
"0.026","0.027","4.380","15.1032","845.74","0.5454","0.2902"
"0.026","0.027","4.380","15.1032","845.74","0.5454","0.2902"
"0.027","0.027","4.690","15.1536","838.16","0.5387","0.3194"
"0.027","0.027","4.690","15.1536","838.16","0.5387","0.3194"
"0.027","0.028","4.660","15.1584","830.58","0.5336","0.3170"
"0.027","0.028","4.660","15.1584","830.58","0.5336","0.3170"
"0.029","0.028","4.240","15.1944","827.18","0.5302","0.3078"
"0.029","0.028","4.240","15.1944","827.18","0.5302","0.3078"
"0.028","0.029","4.390","15.2224","825.40","0.5281","0.3058"
"0.028","0.029","4.390","15.2224","825.40","0.5281","0.3058"
"0.028","0.029","4.150","15.2408","821.28","0.5248","0.2881"
"0.028","0.029","4.150","15.2408","821.28","0.5248","0.2881"
"0.029","0.030","4.520","15.2704","819.30","0.5225","0.3232"
"0.029","0.030","4.520","15.2704","819.30","0.5225","0.3232"
"0.030","0.031","4.250","15.2224","814.60","0.5212","0.3173"
"0.030","0.031","4.250","15.2224","814.60","0.5212","0.3173"
"0.031","0.032","4.120","15.2136","811.77","0.5197","0.3183"
"0.031","0.032","4.120","15.2136","811.77","0.5197","0.3183"
"0.031","0.032","4.130","15.2204","810.04","0.5183","0.3186"
"0.031","0.032","4.130","15.2204","810.04","0.5183","0.3186"
"0.031","0.032","4.020","15.2324","810.04","0.5179","0.3095"
"0.031","0.032","4.020","15.2324","810.04","0.5179","0.3095"
"0.033","0.033","4.450","15.2664","806.53","0.5145","0.3624"
"0.033","0.033","4.450","15.2664","806.53","0.5145","0.3624"
"0.033","0.034","3.960","15.2596","804.58","0.5135","0.3229"
"0.033","0.034","3.960","15.2596","804.58","0.5135","0.3229"
"0.034","0.035","4.180","15.2896","803.00","0.5115","0.3490"
"0.034","0.035","4.180","15.2896","803.00","0.5115","0.3490"
"0.034","0.035","4.320","15.2720","802.03","0.5115","0.3620"
"0.034","0.035","4.320","15.2720","802.03","0.5115","0.3620"
"0.035","0.035","3.960","15.2484","800.79","0.5115","0.3431"
"0.035","0.035","3.960","15.2484","800.79","0.5115","0.3431"
"0.035","0.036","4.070","15.2356","801.07","0.5121","0.3537"
"0.035","0.036","4.070","15.2356","801.07","0.5121","0.3537"
"0.037","0.037","4.080","15.2128","801.40","0.5130","0.3765"
"0.037","0.037","4.080","15.2128","801.40","0.5130","0.3765"
"0.037","0.037","4.370","15.1652","799.36","0.5133","0.4070"
"0.037","0.037","4.370","15.1652","799.36","0.5133","0.4070"
"0.037","0.038","3.920","15.1732","798.67","0.5126","0.3643"
"0.037","0.038","3.920","15.1732","798.67","0.5126","0.3643"
"0.039","0.039","3.950","15.1492","798.24","0.5132","0.3891"
"0.039","0.039","3.950","15.1492","798.24","0.5132","0.3891"
"0.039","0.039","4.300","15.1232","797.34","0.5135","0.4256"
"0.039","0.039","4.300","15.1232","797.34","0.5135","0.4256"
"0.039","0.039","4.290","15.1080","795.01","0.5125","0.4258"
"0.039","0.039","4.290","15.1080","795.01","0.5125","0.4258"
"0.040","0.041","4.070","15.1340","794.26","0.5111","0.4123"
"0.040","0.041","4.070","15.1340","794.26","0.5111","0.4123"
"0.041","0.041","3.820","15.1740","793.54","0.5093","0.3934"
"0.041","0.041","3.820","15.1740","793.54","0.5093","0.3934"
"0.041","0.041","4.330","15.2000","792.62","0.5078","0.4437"
"0.041","0.041","4.330","15.2000","792.62","0.5078","0.4437"
"0.043","0.042","4.110","15.1864","789.64","0.5064","0.4428"
"0.043","0.042","4.110","15.1864","789.64","0.5064","0.4428"
"0.042","0.043","3.970","15.1664","789.66","0.5071","0.4194"
"0.042","0.043","3.970","15.1664","789.66","0.5071","0.4194"
"0.043","0.043","3.940","15.1232","789.27","0.5083","0.4299"
