"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","17.280","15.0808","2323.93","1.5008","0.0000"
"0.000","0.000","17.280","15.0808","2323.93","1.5008","0.0000"
"0.000","0.000","17.060","15.0836","2319.38","1.4975","0.0000"
"0.000","0.000","17.060","15.0836","2319.38","1.4975","0.0000"
"0.000","0.000","17.050","15.0804","2316.39","1.4959","0.0000"
"0.000","0.000","17.050","15.0804","2316.39","1.4959","0.0000"
"0.001","0.001","17.140","15.1000","2315.68","1.4935","0.0436"
"0.001","0.001","17.140","15.1000","2315.68","1.4935","0.0436"
"0.000","0.001","16.960","15.0648","2316.04","1.4972","0.0000"
"0.000","0.001","16.960","15.0648","2316.04","1.4972","0.0000"
"0.001","0.002","17.090","15.0468","2310.92","1.4957","0.0441"
"0.001","0.002","17.090","15.0468","2310.92","1.4957","0.0441"
"0.001","0.002","17.120","15.0388","2315.68","1.4996","0.0441"
"0.001","0.002","17.120","15.0388","2315.68","1.4996","0.0441"
"0.001","0.003","17.070","15.0172","2315.44","1.5016","0.0443"
"0.001","0.003","17.070","15.0172","2315.44","1.5016","0.0443"
"0.001","0.004","17.040","15.0240","2316.51","1.5016","0.0440"
"0.001","0.004","17.040","15.0240","2316.51","1.5016","0.0440"
"0.001","0.004","17.210","15.0396","2320.10","1.5024","0.0444"
"0.001","0.004","17.210","15.0396","2320.10","1.5024","0.0444"
"0.001","0.004","16.960","15.0308","2318.54","1.5023","0.0439"
"0.001","0.004","16.960","15.0308","2318.54","1.5023","0.0439"
"0.002","0.005","16.990","15.0056","2323.09","1.5077","0.0883"
"0.002","0.005","16.990","15.0056","2323.09","1.5077","0.0883"
"0.002","0.006","17.040","14.9756","2324.17","1.5115","0.0891"
"0.002","0.006","17.040","14.9756","2324.17","1.5115","0.0891"
"0.003","0.007","17.110","14.9748","2330.43","1.5156","0.1341"
"0.003","0.007","17.110","14.9748","2330.43","1.5156","0.1341"
"0.003","0.007","17.000","14.9644","2326.21","1.5139","0.1336"
"0.003","0.007","17.000","14.9644","2326.21","1.5139","0.1336"
"0.004","0.008","16.800","14.9592","2327.17","1.5151","0.1762"
"0.004","0.008","16.800","14.9592","2327.17","1.5151","0.1762"
"0.005","0.008","16.850","14.9428","2327.17","1.5167","0.2218"
"0.005","0.008","16.850","14.9428","2327.17","1.5167","0.2218"
"0.005","0.009","16.790","14.9352","2324.05","1.5155","0.2211"
"0.005","0.009","16.790","14.9352","2324.05","1.5155","0.2211"
"0.006","0.009","16.710","14.9240","2318.18","1.5128","0.2649"
"0.006","0.009","16.710","14.9240","2318.18","1.5128","0.2649"
"0.007","0.010","16.850","14.9228","2325.37","1.5176","0.3117"
"0.007","0.010","16.850","14.9228","2325.37","1.5176","0.3117"
"0.007","0.010","16.520","14.9212","2315.56","1.5113","0.3054"
"0.007","0.010","16.520","14.9212","2315.56","1.5113","0.3054"
"0.008","0.011","16.510","14.9164","2311.52","1.5092","0.3494"
"0.008","0.011","16.510","14.9164","2311.52","1.5092","0.3494"
"0.010","0.012","16.580","14.9124","2316.75","1.5130","0.4389"
"0.010","0.012","16.580","14.9124","2316.75","1.5130","0.4389"
"0.010","0.013","16.470","14.9004","2316.39","1.5140","0.4370"
"0.010","0.013","16.470","14.9004","2316.39","1.5140","0.4370"
"0.011","0.013","16.370","14.8776","2314.84","1.5153","0.4801"
"0.011","0.013","16.370","14.8776","2314.84","1.5153","0.4801"
"0.012","0.014","16.470","14.8684","2307.96","1.5117","0.5277"
"0.012","0.014","16.470","14.8684","2307.96","1.5117","0.5277"
"0.013","0.014","16.290","14.8420","2302.53","1.5109","0.5686"
"0.013","0.014","16.290","14.8420","2302.53","1.5109","0.5686"
"0.013","0.014","16.190","14.8532","2300.17","1.5082","0.5639"
"0.013","0.014","16.190","14.8532","2300.17","1.5082","0.5639"
"0.014","0.016","16.290","14.8208","2302.88","1.5133","0.6150"
"0.014","0.016","16.290","14.8208","2302.88","1.5133","0.6150"
"0.015","0.016","16.060","14.8472","2300.41","1.5089","0.6461"
"0.015","0.016","16.060","14.8472","2300.41","1.5089","0.6461"
"0.016","0.017","16.110","14.8560","2298.53","1.5068","0.6902"
"0.016","0.017","16.110","14.8560","2298.53","1.5068","0.6902"
"0.016","0.017","15.940","14.8640","2295.13","1.5038","0.6816"
"0.016","0.017","15.940","14.8640","2295.13","1.5038","0.6816"
"0.017","0.017","16.100","14.8772","2291.74","1.5002","0.7296"
"0.017","0.017","16.100","14.8772","2291.74","1.5002","0.7296"
"0.017","0.018","16.030","14.8796","2290.92","1.4994","0.7261"
"0.017","0.018","16.030","14.8796","2290.92","1.4994","0.7261"
"0.018","0.019","15.900","14.8672","2289.29","1.4996","0.7645"
"0.018","0.019","15.900","14.8672","2289.29","1.4996","0.7645"
"0.019","0.019","15.810","14.8668","2292.32","1.5017","0.8025"
"0.019","0.019","15.810","14.8668","2292.32","1.5017","0.8025"
"0.019","0.020","15.930","14.8752","2284.06","1.4954","0.8072"
"0.019","0.020","15.930","14.8752","2284.06","1.4954","0.8072"
"0.019","0.020","15.820","14.8672","2277.82","1.4921","0.8029"
"0.019","0.020","15.820","14.8672","2277.82","1.4921","0.8029"
"0.020","0.021","15.640","14.8424","2272.30","1.4910","0.8397"
"0.020","0.021","15.640","14.8424","2272.30","1.4910","0.8397"
"0.022","0.022","15.780","14.8440","2276.09","1.4933","0.9318"
"0.022","0.022","15.780","14.8440","2276.09","1.4933","0.9318"
"0.022","0.023","15.550","14.8432","2272.53","1.4911","0.9182"
"0.022","0.023","15.550","14.8432","2272.53","1.4911","0.9182"
"0.023","0.023","15.650","14.8508","2272.07","1.4900","0.9645"
"0.023","0.023","15.650","14.8508","2272.07","1.4900","0.9645"
"0.023","0.024","15.540","14.8164","2270.00","1.4921","0.9645"
"0.023","0.024","15.540","14.8164","2270.00","1.4921","0.9645"
"0.024","0.025","15.600","14.8080","2267.60","1.4914","1.0121"
"0.024","0.025","15.600","14.8080","2267.60","1.4914","1.0121"
"0.024","0.025","15.480","14.8400","2267.26","1.4879","0.9978"
"0.024","0.025","15.480","14.8400","2267.26","1.4879","0.9978"
"0.025","0.026","15.420","14.8316","2263.72","1.4864","1.0371"
"0.025","0.026","15.420","14.8316","2263.72","1.4864","1.0371"
"0.025","0.026","15.330","14.8016","2268.52","1.4926","1.0375"
"0.025","0.026","15.330","14.8016","2268.52","1.4926","1.0375"
"0.027","0.027","15.450","14.7860","2262.36","1.4901","1.1326"
"0.027","0.027","15.450","14.7860","2262.36","1.4901","1.1326"
"0.027","0.028","15.460","14.8280","2262.36","1.4859","1.1238"
"0.027","0.028","15.460","14.8280","2262.36","1.4859","1.1238"
"0.028","0.028","15.190","14.8236","2244.86","1.4748","1.1461"
"0.028","0.028","15.190","14.8236","2244.86","1.4748","1.1461"
"0.028","0.028","15.290","14.8008","2255.44","1.4841","1.1590"
"0.028","0.028","15.290","14.8008","2255.44","1.4841","1.1590"
"0.028","0.029","15.500","14.8360","2256.46","1.4812","1.1666"
"0.028","0.029","15.500","14.8360","2256.46","1.4812","1.1666"
"0.029","0.029","15.140","14.8216","2255.22","1.4819","1.1837"
"0.029","0.029","15.140","14.8216","2255.22","1.4819","1.1837"
"0.029","0.030","15.120","14.8180","2256.46","1.4830","1.1830"
"0.029","0.030","15.120","14.8180","2256.46","1.4830","1.1830"
"0.031","0.031","15.190","14.8440","2252.73","1.4780","1.2637"
"0.031","0.031","15.190","14.8440","2252.73","1.4780","1.2637"
"0.031","0.032","15.210","14.8268","2257.82","1.4830","1.2698"
"0.031","0.032","15.210","14.8268","2257.82","1.4830","1.2698"
