"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","18.560","15.0528","2484.16","1.6072","0.0000"
"0.000","0.000","18.560","15.0528","2484.16","1.6072","0.0000"
"0.000","0.000","18.420","15.0640","2486.91","1.6078","0.0000"
"0.000","0.000","18.420","15.0640","2486.91","1.6078","0.0000"
"0.000","0.000","18.340","15.0156","2481.70","1.6096","0.0000"
"0.000","0.000","18.340","15.0156","2481.70","1.6096","0.0000"
"0.001","0.001","18.450","15.0456","2481.42","1.6062","0.0477"
"0.001","0.001","18.450","15.0456","2481.42","1.6062","0.0477"
"0.000","0.002","18.340","14.9896","2479.78","1.6111","0.0000"
"0.000","0.002","18.340","14.9896","2479.78","1.6111","0.0000"
"0.001","0.002","18.310","15.0236","2476.37","1.6053","0.0474"
"0.001","0.002","18.310","15.0236","2476.37","1.6053","0.0474"
"0.001","0.003","18.300","15.0148","2470.93","1.6027","0.0475"
"0.001","0.003","18.300","15.0148","2470.93","1.6027","0.0475"
"0.001","0.003","18.180","15.0452","2466.60","1.5967","0.0469"
"0.001","0.003","18.180","15.0452","2466.60","1.5967","0.0469"
"0.001","0.004","18.090","15.0180","2455.03","1.5920","0.0469"
"0.001","0.004","18.090","15.0180","2455.03","1.5920","0.0469"
"0.001","0.004","18.190","15.0008","2459.72","1.5969","0.0473"
"0.001","0.004","18.190","15.0008","2459.72","1.5969","0.0473"
"0.002","0.005","18.150","15.0128","2456.37","1.5935","0.0942"
"0.002","0.005","18.150","15.0128","2456.37","1.5935","0.0942"
"0.002","0.006","18.200","15.0100","2455.83","1.5934","0.0945"
"0.002","0.006","18.200","15.0100","2455.83","1.5934","0.0945"
"0.003","0.006","18.000","14.9844","2458.38","1.5978","0.1409"
"0.003","0.006","18.000","14.9844","2458.38","1.5978","0.1409"
"0.003","0.007","17.950","14.9828","2461.88","1.6002","0.1407"
"0.003","0.007","17.950","14.9828","2461.88","1.6002","0.1407"
"0.004","0.007","18.200","14.9864","2463.22","1.6007","0.1899"
"0.004","0.007","18.200","14.9864","2463.22","1.6007","0.1899"
"0.004","0.008","17.970","15.0040","2464.03","1.5994","0.1868"
"0.004","0.008","17.970","15.0040","2464.03","1.5994","0.1868"
"0.005","0.008","17.870","14.9920","2463.76","1.6005","0.2329"
"0.005","0.008","17.870","14.9920","2463.76","1.6005","0.2329"
"0.006","0.009","17.820","14.9904","2464.57","1.6012","0.2786"
"0.006","0.009","17.820","14.9904","2464.57","1.6012","0.2786"
"0.006","0.009","18.000","15.0040","2464.84","1.5999","0.2807"
"0.006","0.009","18.000","15.0040","2464.84","1.5999","0.2807"
"0.007","0.010","17.820","15.0288","2463.76","1.5966","0.3225"
"0.007","0.010","17.820","15.0288","2463.76","1.5966","0.3225"
"0.008","0.011","17.720","15.0508","2449.28","1.5849","0.3651"
"0.008","0.011","17.720","15.0508","2449.28","1.5849","0.3651"
"0.009","0.012","17.620","15.0288","2448.75","1.5868","0.4101"
"0.009","0.012","17.620","15.0288","2448.75","1.5868","0.4101"
"0.010","0.012","17.430","15.0336","2445.95","1.5845","0.4503"
"0.010","0.012","17.430","15.0336","2445.95","1.5845","0.4503"
"0.011","0.013","17.550","15.0760","2441.84","1.5774","0.4944"
"0.011","0.013","17.550","15.0760","2441.84","1.5774","0.4944"
"0.011","0.013","17.530","15.0964","2434.44","1.5705","0.4919"
"0.011","0.013","17.530","15.0964","2434.44","1.5705","0.4919"
"0.012","0.014","17.470","15.0788","2435.10","1.5728","0.5366"
"0.012","0.014","17.470","15.0788","2435.10","1.5728","0.5366"
"0.013","0.014","17.210","15.1140","2434.18","1.5685","0.5687"
