"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","7.290","15.1000","1050.23","0.6774","0.0000"
"0.000","0.000","7.290","15.1000","1050.23","0.6774","0.0000"
"0.000","0.000","7.220","15.0980","1049.10","0.6767","0.0000"
"0.000","0.000","7.220","15.0980","1049.10","0.6767","0.0000"
"0.000","0.000","7.170","15.1064","1047.76","0.6755","0.0000"
"0.000","0.000","7.170","15.1064","1047.76","0.6755","0.0000"
"0.000","0.001","7.160","15.1028","1048.08","0.6758","0.0000"
"0.000","0.001","7.160","15.1028","1048.08","0.6758","0.0000"
"0.001","0.002","7.140","15.0980","1048.32","0.6762","0.0181"
"0.001","0.002","7.140","15.0980","1048.32","0.6762","0.0181"
"0.001","0.002","7.260","15.0984","1048.96","0.6766","0.0186"
"0.001","0.002","7.260","15.0984","1048.96","0.6766","0.0186"
"0.001","0.003","7.240","15.0924","1047.08","0.6757","0.0184"
"0.001","0.003","7.240","15.0924","1047.08","0.6757","0.0184"
"0.001","0.003","7.190","15.1172","1046.59","0.6742","0.0183"
"0.001","0.003","7.190","15.1172","1046.59","0.6742","0.0183"
"0.001","0.004","7.220","15.1240","1048.32","0.6751","0.0183"
"0.001","0.004","7.220","15.1240","1048.32","0.6751","0.0183"
"0.001","0.004","7.200","15.1292","1047.37","0.6742","0.0183"
"0.001","0.004","7.200","15.1292","1047.37","0.6742","0.0183"
"0.002","0.005","7.210","15.0948","1048.27","0.6763","0.0368"
"0.002","0.005","7.210","15.0948","1048.27","0.6763","0.0368"
"0.002","0.006","7.240","15.0944","1048.57","0.6765","0.0370"
"0.002","0.006","7.240","15.0944","1048.57","0.6765","0.0370"
"0.002","0.006","7.060","15.0812","1048.49","0.6771","0.0361"
"0.002","0.006","7.060","15.0812","1048.49","0.6771","0.0361"
"0.003","0.007","6.940","15.0840","1049.18","0.6774","0.0532"
"0.003","0.007","6.940","15.0840","1049.18","0.6774","0.0532"
"0.004","0.008","7.020","15.0688","1050.50","0.6789","0.0721"
"0.004","0.008","7.020","15.0688","1050.50","0.6789","0.0721"
"0.004","0.008","6.800","15.0532","1049.69","0.6791","0.0700"
"0.004","0.008","6.800","15.0532","1049.69","0.6791","0.0700"
"0.005","0.008","6.860","15.0708","1051.11","0.6792","0.0880"
"0.005","0.008","6.860","15.0708","1051.11","0.6792","0.0880"
