"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","20.480","0.6352","3285.45","50.3728","0.0000"
"0.000","0.000","20.480","0.6352","3285.45","50.3728","0.0000"
"0.000","0.000","20.480","1.2444","3285.45","25.7126","0.0000"
"0.000","0.000","20.480","1.2444","3285.45","25.7126","0.0000"
"0.001","0.000","20.480","1.8624","3287.85","17.1930","27.8558"
"0.001","0.000","20.480","1.8624","3287.85","17.1930","27.8558"
"0.001","0.001","20.480","2.5016","3286.17","12.7933","11.4943"
"0.001","0.001","20.480","2.5016","3286.17","12.7933","11.4943"
"0.001","0.001","20.480","3.1408","3286.89","10.1919","5.8078"
"0.001","0.001","20.480","3.1408","3286.89","10.1919","5.8078"
"0.000","0.002","20.480","3.7712","3283.77","8.4802","0.0000"
"0.000","0.002","20.480","3.7712","3283.77","8.4802","0.0000"
"0.001","0.002","20.480","4.3956","3282.81","7.2734","2.1188"
"0.001","0.002","20.480","4.3956","3282.81","7.2734","2.1188"
"0.001","0.002","20.480","5.0528","3285.93","6.3334","1.3949"
"0.001","0.002","20.480","5.0528","3285.93","6.3334","1.3949"
"0.001","0.003","20.480","5.7176","3284.01","5.5937","0.9627"
"0.001","0.003","20.480","5.7176","3284.01","5.5937","0.9627"
"0.001","0.003","20.480","6.3664","3275.88","5.0112","0.6974"
"0.001","0.003","20.480","6.3664","3275.88","5.0112","0.6974"
"0.001","0.004","20.480","6.9916","3270.41","4.5555","0.5265"
"0.001","0.004","20.480","6.9916","3270.41","4.5555","0.5265"
"0.002","0.004","20.480","7.6192","3268.75","4.1781","0.8136"
"0.002","0.004","20.480","7.6192","3268.75","4.1781","0.8136"
"0.002","0.004","20.480","8.2656","3266.14","3.8483","0.6373"
"0.002","0.004","20.480","8.2656","3266.14","3.8483","0.6373"
"0.002","0.004","20.480","8.9052","3264.24","3.5699","0.5096"
"0.002","0.004","20.480","8.9052","3264.24","3.5699","0.5096"
"0.002","0.005","20.480","9.5440","3270.41","3.3372","0.4140"
"0.002","0.005","20.480","9.5440","3270.41","3.3372","0.4140"
"0.003","0.006","20.480","10.1840","3263.77","3.1211","0.5103"
"0.003","0.006","20.480","10.1840","3263.77","3.1211","0.5103"
"0.003","0.006","20.480","10.8136","3264.00","2.9396","0.4262"
"0.003","0.006","20.480","10.8136","3264.00","2.9396","0.4262"
"0.003","0.007","20.480","11.4360","3258.57","2.7750","0.3604"
"0.003","0.007","20.480","11.4360","3258.57","2.7750","0.3604"
"0.004","0.007","20.480","12.0700","3259.75","2.6302","0.4088"
"0.004","0.007","20.480","12.0700","3259.75","2.6302","0.4088"
"0.005","0.007","20.480","12.7128","3256.92","2.4950","0.4375"
"0.005","0.007","20.480","12.7128","3256.92","2.4950","0.4375"
"0.005","0.008","20.480","13.3688","3249.16","2.3670","0.3762"
"0.005","0.008","20.480","13.3688","3249.16","2.3670","0.3762"
"0.006","0.008","20.480","13.9808","3252.44","2.2656","0.3948"
"0.006","0.008","20.480","13.9808","3252.44","2.2656","0.3948"
"0.006","0.008","20.480","14.6076","3255.74","2.1706","0.3461"
"0.006","0.008","20.480","14.6076","3255.74","2.1706","0.3461"
"0.007","0.009","20.480","15.2512","3254.09","2.0780","0.3548"
"0.007","0.009","20.480","15.2512","3254.09","2.0780","0.3548"
"0.007","0.009","20.480","15.8976","3251.50","1.9919","0.3133"
"0.007","0.009","20.480","15.8976","3251.50","1.9919","0.3133"
"0.008","0.010","20.480","15.8784","3251.74","1.9944","0.3591"
"0.008","0.010","20.480","15.8784","3251.74","1.9944","0.3591"
"0.008","0.010","20.480","15.8976","3255.97","1.9946","0.3578"
"0.008","0.010","20.480","15.8976","3255.97","1.9946","0.3578"
"0.008","0.010","20.480","15.9224","3249.86","1.9878","0.3562"
"0.008","0.010","20.480","15.9224","3249.86","1.9878","0.3562"
"0.010","0.011","20.480","15.9212","3249.16","1.9875","0.4454"
"0.010","0.011","20.480","15.9212","3249.16","1.9875","0.4454"
"0.010","0.012","20.480","15.8956","3244.47","1.9878","0.4476"
"0.010","0.012","20.480","15.8956","3244.47","1.9878","0.4476"
"0.011","0.012","20.480","15.9048","3234.91","1.9808","0.4915"
"0.011","0.012","20.480","15.9048","3234.91","1.9808","0.4915"
"0.012","0.013","20.480","15.9276","3230.50","1.9753","0.5340"
"0.012","0.013","20.480","15.9276","3230.50","1.9753","0.5340"
"0.012","0.013","20.480","15.9124","3224.94","1.9738","0.5355"
"0.012","0.013","20.480","15.9124","3224.94","1.9738","0.5355"
"0.012","0.013","20.480","15.8760","3220.32","1.9755","0.5392"
"0.012","0.013","20.480","15.8760","3220.32","1.9755","0.5392"
"0.013","0.014","20.480","15.8516","3218.25","1.9772","0.5866"
"0.013","0.014","20.480","15.8516","3218.25","1.9772","0.5866"
"0.013","0.014","20.480","15.8544","3220.55","1.9783","0.5863"
"0.013","0.014","20.480","15.8544","3220.55","1.9783","0.5863"
"0.014","0.014","20.480","15.8604","3222.63","1.9788","0.6308"
"0.014","0.014","20.480","15.8604","3222.63","1.9788","0.6308"
"0.014","0.015","20.480","15.8596","3224.02","1.9798","0.6309"
"0.014","0.015","20.480","15.8596","3224.02","1.9798","0.6309"
"0.015","0.015","20.480","15.8632","3229.80","1.9829","0.6755"
"0.015","0.015","20.480","15.8632","3229.80","1.9829","0.6755"
"0.015","0.016","20.480","15.8528","3236.30","1.9882","0.6768"
"0.015","0.016","20.480","15.8528","3236.30","1.9882","0.6768"
"0.015","0.016","20.480","15.8380","3234.21","1.9887","0.6787"
