i,target_i,voltage,wind_velocity,rpm,tsr,efficiency
0.000,0.000,14.170,15.2828,1937.09,1.2344,0
0.000,0.000,14.090,15.2540,1936.50,1.2364,0
0.000,0.000,14.070,15.1444,1937.92,1.2462,0
0.000,0.000,14.110,15.0852,1939.09,1.2519,0
0.000,0.000,14.160,15.0852,1939.59,1.2522,0
0.000,0.000,14.080,15.1408,1937.76,1.2464,0
0.001,0.001,14.060,15.1680,1937.76,1.2442,0.0353656238501461
0.001,0.001,14.140,15.1396,1938.26,1.2468,0.0357673833509745
0.001,0.001,14.030,15.1668,1937.84,1.2443,0.0352985409262805
0.001,0.001,14.100,15.0268,1937.76,1.2559,0.0364754414615629
0.000,0.001,14.100,15.1204,1936.75,1.2474,0
0.001,0.001,14.050,15.1488,1938.59,1.2463,0.0354750152846042
0.001,0.001,14.100,15.2048,1937.76,1.2412,0.0352093444876856
0.001,0.002,14.120,15.2320,1935.59,1.2376,0.035070734884831
0.001,0.002,14.030,15.1728,1933.76,1.2412,0.035256681644226
0.001,0.002,14.010,15.2288,1931.85,1.2354,0.0348194613732113
0.001,0.002,14.060,15.2880,1930.36,1.2297,0.0345393580339342
0.001,0.002,14.090,15.2016,1931.68,1.2375,0.0352065973695654
0.001,0.002,14.080,15.1728,1932.10,1.2402,0.0353823291197935
0.001,0.002,14.050,15.2284,1932.35,1.2358,0.0349216262235186
0.001,0.003,14.060,15.3128,1930.61,1.2279,0.0343718139756847
0.001,0.003,13.910,15.4224,1928.12,1.2176,0.0332852791809161
0.001,0.003,14.000,15.3936,1929.61,1.2208,0.0336890222339187
0.002,0.003,13.870,15.3380,1929.69,1.2253,0.0674809548484346
0.002,0.003,13.960,15.3940,1929.45,1.2207,0.0671802986283919
0.002,0.003,13.870,15.2600,1930.77,1.2322,0.068521019905601
0.002,0.003,13.930,15.2888,1929.28,1.2289,0.0684292651768537
0.002,0.003,14.020,15.2888,1930.03,1.2294,0.0688713781607673
0.002,0.004,13.900,15.3752,1932.18,1.2239,0.0671372328647942
0.002,0.004,14.020,15.3752,1931.93,1.2237,0.0677168348751377
0.003,0.004,13.970,15.2260,1932.43,1.2360,0.104217619081503
0.003,0.004,13.900,15.1396,1933.76,1.2439,0.10548089715245
0.003,0.004,13.790,15.1396,1935.59,1.2451,0.104646156239732
0.003,0.004,13.950,15.0532,1936.42,1.2528,0.107693608631147
0.003,0.004,13.970,15.1124,1936.17,1.2477,0.106585543289188
0.003,0.004,13.850,15.1124,1933.01,1.2457,0.105669991020419
0.003,0.004,13.810,15.0840,1933.26,1.2482,0.105961067479417
0.003,0.004,13.910,15.1124,1933.09,1.2457,0.106127767154804
0.004,0.005,13.920,15.0260,1935.92,1.2547,0.144062197729621
0.004,0.005,13.900,15.0564,1936.25,1.2524,0.142985606615604
0.004,0.005,13.960,15.0564,1936.75,1.2527,0.143602810672937
0.004,0.005,13.900,15.0564,1937.59,1.2533,0.142985606615604
0.005,0.006,13.860,15.0220,1937.00,1.2558,0.179444819286011
0.005,0.006,13.900,15.0220,1937.17,1.2559,0.179962697552348
0.005,0.006,13.760,14.9664,1937.76,1.2609,0.180142985620019
0.005,0.006,13.760,14.9108,1938.67,1.2662,0.182165682786904
0.005,0.006,13.810,14.8300,1938.42,1.2730,0.18583229593167
0.005,0.006,13.670,14.7652,1937.84,1.2782,0.186380932214263
0.006,0.006,13.770,14.7924,1938.76,1.2764,0.224052723447541
0.006,0.007,13.750,14.7652,1938.59,1.2787,0.224966011816777
0.006,0.007,13.800,14.7940,1938.92,1.2764,0.224468010025044
0.006,0.007,13.760,14.8212,1937.09,1.2729,0.222587383157319
0.006,0.007,13.700,14.9056,1936.92,1.2655,0.217873491271567
0.006,0.007,13.780,14.8496,1936.75,1.2702,0.221634398131269
0.007,0.007,13.650,14.8496,1935.26,1.2692,0.256134092180004
0.007,0.007,13.680,14.9144,1935.01,1.2635,0.25336565309126
0.007,0.008,13.800,14.9736,1933.09,1.2573,0.252568629197086
0.007,0.008,13.650,15.0020,1933.18,1.2550,0.24840719496026
0.007,0.008,13.610,15.0612,1933.67,1.2504,0.244770120183912
0.008,0.008,13.530,15.0884,1931.43,1.2467,0.276591722985876
0.008,0.008,13.540,15.1156,1929.03,1.2429,0.275304583370025
0.008,0.008,13.550,15.0884,1927.30,1.2440,0.277000579930423
0.008,0.008,13.540,15.0040,1927.63,1.2512,0.281493549709607
0.008,0.008,13.540,15.0632,1926.64,1.2456,0.278187676260205
0.008,0.008,13.580,15.1192,1923.10,1.2388,0.275920700313456
0.008,0.008,13.490,15.0920,1920.72,1.2394,0.275576709275293
0.008,0.008,13.430,15.0920,1919.73,1.2388,0.274351015979776
0.008,0.009,13.570,15.1856,1918.83,1.2306,0.272116533126699
0.008,0.009,13.460,15.1856,1916.95,1.2294,0.269910724825745
0.008,0.009,13.490,15.2128,1915.65,1.2264,0.269063899629293
0.009,0.009,13.350,15.2400,1915.24,1.2239,0.297954423109018
0.009,0.009,13.510,15.2400,1914.91,1.2237,0.30152541244965
0.009,0.009,13.460,15.3608,1913.77,1.2134,0.293377651859776
0.009,0.009,13.480,15.3608,1910.85,1.2115,0.293813577048275
0.009,0.010,13.430,15.3016,1911.74,1.2168,0.296134461914711
0.009,0.010,13.350,15.3016,1913.29,1.2177,0.294370444271138
0.009,0.010,13.490,15.2744,1913.29,1.2199,0.299049405378032
0.010,0.010,13.360,15.2188,1913.94,1.2248,0.332694936942457
0.010,0.010,13.390,15.3284,1913.61,1.2158,0.326340567859603
0.010,0.010,13.370,15.3284,1914.34,1.2163,0.325853128624562
0.010,0.010,13.310,15.3572,1914.02,1.2138,0.322569200337615
0.010,0.011,13.540,15.3572,1914.91,1.2144,0.328143273671774
0.010,0.011,13.340,15.2728,1914.83,1.2210,0.328685691386017
0.010,0.011,13.350,15.2728,1915.32,1.2213,0.32893208245902
0.011,0.011,13.350,15.2728,1915.40,1.2214,0.361825290704922
0.011,0.012,13.230,15.2728,1915.24,1.2213,0.358572928541282
0.012,0.012,13.370,15.2440,1913.29,1.2223,0.397554611739469
0.012,0.012,13.330,15.3284,1912.80,1.2153,0.389853900185377
0.012,0.012,13.260,15.2996,1912.23,1.2172,0.390000804742039
0.012,0.012,13.280,15.2436,1910.52,1.2206,0.394909563745631
0.012,0.012,13.310,15.2436,1910.28,1.2205,0.395801678723972
0.012,0.012,13.190,15.1844,1911.90,1.2263,0.396838771952584
0.012,0.013,13.340,15.1252,1910.44,1.2301,0.406082861109197
0.012,0.013,13.330,15.1812,1909.23,1.2248,0.401304521408609
0.012,0.013,13.200,15.0948,1910.36,1.2325,0.40425374368982
0.012,0.013,13.270,15.0676,1909.31,1.2341,0.408602372788203
0.013,0.013,13.200,15.0676,1908.74,1.2337,0.440317553193015
0.013,0.013,13.210,15.0116,1909.63,1.2389,0.445601025547281
0.013,0.013,13.220,14.8564,1906.48,1.2498,0.460060575273866
0.013,0.014,13.190,14.9712,1905.83,1.2398,0.448538033016653
0.014,0.014,13.150,14.9712,1904.78,1.2391,0.481576088402436
0.014,0.014,13.130,14.9424,1902.77,1.2402,0.483629351485649
0.014,0.014,13.190,14.9696,1902.13,1.2375,0.483195862199845
0.014,0.014,13.160,14.9160,1900.52,1.2409,0.487312737958268
0.014,0.014,13.120,14.8600,1900.04,1.2452,0.491344846388684
0.014,0.014,13.040,14.8872,1899.40,1.2426,0.485676982028473
0.014,0.014,13.080,14.8280,1899.56,1.2476,0.493025077847199
0.014,0.014,13.170,14.8568,1898.91,1.2448,0.49353611990629
0.014,0.014,13.170,14.8280,1899.32,1.2475,0.496417452236056
0.014,0.014,13.040,14.7416,1900.52,1.2556,0.500210404953008
0.014,0.015,13.120,14.7700,1900.44,1.2531,0.500381618505361
0.014,0.015,13.120,14.8796,1898.59,1.2427,0.489405746063163
0.015,0.015,13.140,14.7952,1898.91,1.2500,0.534201454507547
0.015,0.016,13.040,14.8512,1901.40,1.2469,0.524161565666285
0.015,0.016,13.030,14.8800,1900.68,1.2440,0.520724298860406
0.016,0.016,12.920,14.8800,1897.31,1.2418,0.550750202406872
0.016,0.016,12.910,14.9104,1896.43,1.2387,0.546964707245179
0.016,0.016,13.040,14.9408,1897.31,1.2367,0.549106999907912
0.016,0.016,12.880,14.9692,1896.35,1.2338,0.539288346401781
0.016,0.016,12.980,14.9996,1896.11,1.2311,0.540177641979901
0.016,0.017,13.040,15.0268,1895.79,1.2287,0.539733057201453
0.017,0.017,12.940,15.0540,1894.84,1.2258,0.565989566397319
0.017,0.017,13.050,15.0828,1894.04,1.2230,0.567537390443542
0.017,0.017,12.930,15.2108,1894.36,1.2129,0.548241921467042
0.017,0.017,12.950,15.2360,1892.68,1.2098,0.546369893594118
0.017,0.017,12.880,15.2632,1892.37,1.2075,0.540516507756951
0.017,0.017,12.890,15.3192,1892.84,1.2033,0.53502557577387
0.017,0.017,12.940,15.3192,1890.70,1.2020,0.537100927115119
0.017,0.017,12.890,15.2632,1890.86,1.2065,0.540936163430676
0.017,0.017,12.890,15.2920,1893.16,1.2057,0.537885619457218
0.017,0.017,13.090,15.2920,1895.00,1.2069,0.546231400984871
0.017,0.018,12.880,15.3512,1894.84,1.2021,0.531274238668404
0.018,0.018,12.870,15.4320,1895.63,1.1963,0.553305988732602
0.018,0.018,12.920,15.4880,1897.87,1.1934,0.549452256908616
0.018,0.018,12.890,15.4880,1896.19,1.1923,0.548176438974617
0.018,0.018,12.840,15.4324,1897.15,1.1972,0.551973308351405
0.018,0.018,12.950,15.3788,1897.63,1.2017,0.562543212852401
0.018,0.018,12.920,15.3484,1899.07,1.2050,0.564581514749479
0.018,0.019,12.850,15.2620,1899.64,1.2122,0.571113265538411
0.019,0.019,12.920,15.2620,1899.88,1.2123,0.606125743296018
0.019,0.019,12.900,15.2892,1899.15,1.2097,0.601963264468199
0.019,0.019,12.830,15.2892,1898.35,1.2092,0.598696797141628
