"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.001","0.000","8.820","15.1828","1271.41","0.8155","0.0221"
"0.001","0.000","8.820","15.1828","1271.41","0.8155","0.0221"
"0.000","0.000","8.820","15.2036","1261.25","0.8079","0.0000"
"0.000","0.000","8.820","15.2036","1261.25","0.8079","0.0000"
"0.000","0.000","8.740","15.2068","1256.26","0.8046","0.0000"
"0.000","0.000","8.740","15.2068","1256.26","0.8046","0.0000"
"0.000","0.001","8.740","15.2264","1254.61","0.8025","0.0000"
"0.000","0.001","8.740","15.2264","1254.61","0.8025","0.0000"
"0.000","0.001","8.870","15.2540","1244.41","0.7945","0.0000"
"0.000","0.001","8.870","15.2540","1244.41","0.7945","0.0000"
"0.001","0.002","8.700","15.2644","1239.68","0.7909","0.0215"
"0.001","0.002","8.700","15.2644","1239.68","0.7909","0.0215"
"0.001","0.003","8.620","15.2808","1234.14","0.7866","0.0212"
"0.001","0.003","8.620","15.2808","1234.14","0.7866","0.0212"
"0.001","0.003","8.610","15.2704","1232.04","0.7858","0.0212"
"0.001","0.003","8.610","15.2704","1232.04","0.7858","0.0212"
"0.001","0.004","8.500","15.2792","1226.97","0.7821","0.0209"
"0.001","0.004","8.500","15.2792","1226.97","0.7821","0.0209"
"0.001","0.004","8.460","15.2488","1225.60","0.7828","0.0210"
"0.001","0.004","8.460","15.2488","1225.60","0.7828","0.0210"
"0.002","0.005","8.460","15.2608","1223.87","0.7810","0.0417"
"0.002","0.005","8.460","15.2608","1223.87","0.7810","0.0417"
"0.002","0.006","8.420","15.2896","1222.37","0.7786","0.0413"
"0.002","0.006","8.420","15.2896","1222.37","0.7786","0.0413"
"0.002","0.006","8.430","15.2552","1221.90","0.7801","0.0418"
"0.002","0.006","8.430","15.2552","1221.90","0.7801","0.0418"
"0.003","0.007","8.390","15.2428","1222.97","0.7814","0.0625"
"0.003","0.007","8.390","15.2428","1222.97","0.7814","0.0625"
"0.003","0.007","8.290","15.2332","1223.10","0.7820","0.0618"
"0.003","0.007","8.290","15.2332","1223.10","0.7820","0.0618"
"0.004","0.008","8.470","15.2336","1226.60","0.7842","0.0842"
"0.004","0.008","8.470","15.2336","1226.60","0.7842","0.0842"
"0.005","0.008","8.360","15.2400","1225.27","0.7830","0.1037"
"0.005","0.008","8.360","15.2400","1225.27","0.7830","0.1037"
"0.006","0.009","8.430","15.2488","1223.70","0.7815","0.1253"
"0.006","0.009","8.430","15.2488","1223.70","0.7815","0.1253"
"0.006","0.009","8.170","15.2412","1218.40","0.7785","0.1215"
"0.006","0.009","8.170","15.2412","1218.40","0.7785","0.1215"
"0.007","0.010","7.860","15.2636","1214.35","0.7748","0.1358"
"0.007","0.010","7.860","15.2636","1214.35","0.7748","0.1358"
"0.008","0.011","7.920","15.2584","1212.10","0.7736","0.1567"
"0.008","0.011","7.920","15.2584","1212.10","0.7736","0.1567"
"0.009","0.012","8.000","15.2612","1208.61","0.7713","0.1778"
"0.009","0.012","8.000","15.2612","1208.61","0.7713","0.1778"
"0.009","0.012","8.060","15.2772","1207.90","0.7700","0.1785"
"0.009","0.012","8.060","15.2772","1207.90","0.7700","0.1785"
"0.011","0.013","7.970","15.2772","1204.76","0.7680","0.2159"
"0.011","0.013","7.970","15.2772","1204.76","0.7680","0.2159"
"0.011","0.013","7.780","15.2952","1202.25","0.7655","0.2100"
"0.011","0.013","7.780","15.2952","1202.25","0.7655","0.2100"
"0.012","0.014","7.920","15.3112","1199.08","0.7627","0.2323"
"0.012","0.014","7.920","15.3112","1199.08","0.7627","0.2323"
"0.013","0.014","7.880","15.2844","1197.01","0.7627","0.2517"
"0.013","0.014","7.880","15.2844","1197.01","0.7627","0.2517"
"0.013","0.015","7.790","15.2868","1197.23","0.7627","0.2489"
"0.013","0.015","7.790","15.2868","1197.23","0.7627","0.2489"
"0.014","0.016","7.940","15.2504","1193.20","0.7620","0.2752"
"0.014","0.016","7.940","15.2504","1193.20","0.7620","0.2752"
