"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","2.360","15.3088","442.24","0.2813","0.0000"
"0.000","0.000","2.360","15.3088","442.24","0.2813","0.0000"
"0.000","0.000","2.320","15.3092","438.23","0.2788","0.0000"
"0.000","0.000","2.320","15.3092","438.23","0.2788","0.0000"
"0.000","0.000","2.400","15.2964","436.11","0.2777","0.0000"
"0.000","0.000","2.400","15.2964","436.11","0.2777","0.0000"
"0.001","0.001","2.450","15.3104","435.07","0.2767","0.0061"
"0.001","0.001","2.450","15.3104","435.07","0.2767","0.0061"
"0.000","0.001","2.450","15.3076","434.46","0.2764","0.0000"
"0.000","0.001","2.450","15.3076","434.46","0.2764","0.0000"
"0.001","0.002","2.420","15.3276","436.83","0.2776","0.0059"
"0.001","0.002","2.420","15.3276","436.83","0.2776","0.0059"
"0.001","0.003","2.530","15.3420","445.01","0.2825","0.0061"
"0.001","0.003","2.530","15.3420","445.01","0.2825","0.0061"
"0.001","0.003","2.430","15.3472","445.01","0.2824","0.0058"
"0.001","0.003","2.430","15.3472","445.01","0.2824","0.0058"
"0.001","0.004","2.490","15.3640","447.58","0.2837","0.0061"
"0.001","0.004","2.490","15.3640","447.58","0.2837","0.0061"
"0.001","0.004","2.500","15.3900","445.81","0.2821","0.0060"
"0.001","0.004","2.500","15.3900","445.81","0.2821","0.0060"
"0.001","0.005","2.540","15.3984","446.92","0.2827","0.0060"
"0.001","0.005","2.540","15.3984","446.92","0.2827","0.0060"
"0.002","0.006","2.220","15.4056","451.20","0.2852","0.0106"
"0.002","0.006","2.220","15.4056","451.20","0.2852","0.0106"
"0.002","0.006","2.390","15.3912","451.20","0.2855","0.0116"
"0.002","0.006","2.390","15.3912","451.20","0.2855","0.0116"
"0.003","0.007","2.220","15.3972","442.59","0.2799","0.0161"
"0.003","0.007","2.220","15.3972","442.59","0.2799","0.0161"
"0.003","0.007","2.230","15.4148","439.18","0.2775","0.0161"
"0.003","0.007","2.230","15.4148","439.18","0.2775","0.0161"
"0.004","0.008","2.120","15.3980","441.85","0.2795","0.0204"
"0.004","0.008","2.120","15.3980","441.85","0.2795","0.0204"
"0.005","0.008","2.060","15.3760","444.82","0.2817","0.0249"
"0.005","0.008","2.060","15.3760","444.82","0.2817","0.0249"
