"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","4.060","15.4020","636.99","0.4028","0.0000"
"0.000","0.000","4.060","15.4020","636.99","0.4028","0.0000"
"0.000","0.000","3.820","15.3960","636.83","0.4028","0.0000"
"0.000","0.000","3.820","15.3960","636.83","0.4028","0.0000"
"0.000","0.000","4.020","15.3672","635.71","0.4029","0.0000"
"0.000","0.000","4.020","15.3672","635.71","0.4029","0.0000"
"0.000","0.001","3.990","15.4140","638.05","0.4031","0.0000"
"0.000","0.001","3.990","15.4140","638.05","0.4031","0.0000"
"0.001","0.001","3.930","15.4000","639.91","0.4047","0.0094"
"0.001","0.001","3.930","15.4000","639.91","0.4047","0.0094"
"0.001","0.002","3.950","15.3924","641.83","0.4061","0.0096"
"0.001","0.002","3.950","15.3924","641.83","0.4061","0.0096"
"0.001","0.003","3.860","15.3736","641.75","0.4065","0.0094"
"0.001","0.003","3.860","15.3736","641.75","0.4065","0.0094"
"0.001","0.003","3.910","15.3704","635.08","0.4024","0.0094"
"0.001","0.003","3.910","15.3704","635.08","0.4024","0.0094"
"0.001","0.004","3.820","15.3616","635.07","0.4026","0.0092"
"0.001","0.004","3.820","15.3616","635.07","0.4026","0.0092"
"0.001","0.004","3.820","15.3508","639.72","0.4059","0.0092"
"0.001","0.004","3.820","15.3508","639.72","0.4059","0.0092"
"0.001","0.004","3.970","15.3168","639.57","0.4067","0.0098"
"0.001","0.004","3.970","15.3168","639.57","0.4067","0.0098"
"0.002","0.006","3.750","15.2772","638.24","0.4069","0.0185"
"0.002","0.006","3.750","15.2772","638.24","0.4069","0.0185"
"0.002","0.006","3.720","15.3056","639.32","0.4068","0.0181"
"0.002","0.006","3.720","15.3056","639.32","0.4068","0.0181"
"0.003","0.007","3.640","15.2868","641.71","0.4088","0.0268"
"0.003","0.007","3.640","15.2868","641.71","0.4088","0.0268"
"0.003","0.007","3.650","15.2740","643.48","0.4103","0.0269"
"0.003","0.007","3.650","15.2740","643.48","0.4103","0.0269"
"0.004","0.008","3.960","15.2532","643.93","0.4111","0.0391"
"0.004","0.008","3.960","15.2532","643.93","0.4111","0.0391"
"0.004","0.008","3.520","15.2048","642.86","0.4118","0.0352"
"0.004","0.008","3.520","15.2048","642.86","0.4118","0.0352"
"0.005","0.009","3.630","15.1360","647.48","0.4166","0.0458"
"0.005","0.009","3.630","15.1360","647.48","0.4166","0.0458"
