"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.000","0.000","10.030","0.6604","1411.60","20.8169","0.0000"
"0.000","0.000","10.030","0.6604","1411.60","20.8169","0.0000"
"0.000","0.000","9.970","1.2924","1411.42","10.6358","0.0000"
"0.000","0.000","9.970","1.2924","1411.42","10.6358","0.0000"
"0.000","0.000","9.990","1.9780","1412.80","6.9561","0.0000"
"0.000","0.000","9.990","1.9780","1412.80","6.9561","0.0000"
"0.000","0.000","10.090","2.6100","1412.71","5.2714","0.0000"
"0.000","0.000","10.090","2.6100","1412.71","5.2714","0.0000"
"0.000","0.000","10.080","3.2704","1412.48","4.2062","0.0000"
"0.000","0.000","10.080","3.2704","1412.48","4.2062","0.0000"
"0.000","0.001","10.080","3.8464","1414.22","3.5808","0.0000"
"0.000","0.001","10.080","3.8464","1414.22","3.5808","0.0000"
"0.000","0.001","10.010","4.4224","1413.77","3.1134","0.0000"
"0.000","0.001","10.010","4.4224","1413.77","3.1134","0.0000"
"0.000","0.001","10.050","5.0544","1415.11","2.7267","0.0000"
"0.000","0.001","10.050","5.0544","1415.11","2.7267","0.0000"
"0.001","0.001","10.040","5.6592","1416.04","2.4369","0.4843"
"0.001","0.001","10.040","5.6592","1416.04","2.4369","0.4843"
"0.000","0.001","9.910","6.3196","1414.66","2.1801","0.0000"
"0.000","0.001","9.910","6.3196","1414.66","2.1801","0.0000"
"0.001","0.001","10.140","6.9800","1411.02","1.9687","0.2607"
"0.001","0.001","10.140","6.9800","1411.02","1.9687","0.2607"
"0.001","0.001","10.110","7.5848","1412.31","1.8134","0.2032"
"0.001","0.001","10.110","7.5848","1412.31","1.8134","0.2032"
"0.001","0.001","10.000","8.1608","1412.53","1.6857","0.1615"
"0.001","0.001","10.000","8.1608","1412.53","1.6857","0.1615"
"0.001","0.002","10.050","8.7656","1413.59","1.5706","0.1316"
"0.001","0.002","10.050","8.7656","1413.59","1.5706","0.1316"
"0.001","0.002","10.040","9.3976","1413.68","1.4650","0.1058"
"0.001","0.002","10.040","9.3976","1413.68","1.4650","0.1058"
"0.001","0.002","9.920","10.0296","1411.91","1.3710","0.0861"
"0.001","0.002","9.920","10.0296","1411.91","1.3710","0.0861"
"0.001","0.002","10.070","10.6616","1411.38","1.2892","0.0732"
"0.001","0.002","10.070","10.6616","1411.38","1.2892","0.0732"
"0.001","0.002","10.030","11.2376","1410.36","1.2223","0.0619"
"0.001","0.002","10.030","11.2376","1410.36","1.2223","0.0619"
"0.001","0.002","9.910","11.7832","1409.92","1.1653","0.0531"
"0.001","0.002","9.910","11.7832","1409.92","1.1653","0.0531"
"0.001","0.002","9.930","12.4152","1409.17","1.1054","0.0454"
"0.001","0.002","9.930","12.4152","1409.17","1.1054","0.0454"
"0.001","0.003","9.980","13.0200","1409.87","1.0546","0.0398"
"0.001","0.003","9.980","13.0200","1409.87","1.0546","0.0398"
"0.001","0.003","10.000","13.5656","1411.78","1.0135","0.0352"
"0.001","0.003","10.000","13.5656","1411.78","1.0135","0.0352"
"0.001","0.003","9.990","14.2512","1413.15","0.9657","0.0303"
"0.001","0.003","9.990","14.2512","1413.15","0.9657","0.0303"
"0.002","0.003","10.020","14.8832","1413.33","0.9248","0.0533"
"0.002","0.003","10.020","14.8832","1413.33","0.9248","0.0533"
"0.002","0.003","9.950","15.4880","1411.07","0.8873","0.0470"
"0.002","0.003","9.950","15.4880","1411.07","0.8873","0.0470"
"0.002","0.003","9.820","15.4880","1409.08","0.8860","0.0463"
"0.002","0.003","9.820","15.4880","1409.08","0.8860","0.0463"
"0.002","0.003","9.830","15.4880","1406.70","0.8845","0.0465"
"0.002","0.003","9.830","15.4880","1406.70","0.8845","0.0465"
"0.002","0.004","9.820","15.4344","1405.38","0.8868","0.0468"
"0.002","0.004","9.820","15.4344","1405.38","0.8868","0.0468"
"0.002","0.004","9.960","15.4072","1407.05","0.8894","0.0478"
"0.002","0.004","9.960","15.4072","1407.05","0.8894","0.0478"
"0.003","0.004","9.830","15.3788","1405.34","0.8900","0.0712"
"0.003","0.004","9.830","15.3788","1405.34","0.8900","0.0712"
"0.003","0.004","9.780","15.4632","1405.47","0.8852","0.0696"
"0.003","0.004","9.780","15.4632","1405.47","0.8852","0.0696"
"0.003","0.004","9.880","15.5476","1405.47","0.8804","0.0691"
"0.003","0.004","9.880","15.5476","1405.47","0.8804","0.0691"
"0.003","0.004","9.950","15.5204","1408.24","0.8837","0.0700"
"0.003","0.004","9.950","15.5204","1408.24","0.8837","0.0700"
"0.003","0.004","9.850","15.6256","1407.71","0.8774","0.0679"
"0.003","0.004","9.850","15.6256","1407.71","0.8774","0.0679"
"0.003","0.004","9.730","15.5972","1406.26","0.8781","0.0675"
"0.003","0.004","9.730","15.5972","1406.26","0.8781","0.0675"
"0.003","0.004","9.800","15.5688","1404.99","0.8789","0.0684"
"0.003","0.004","9.800","15.5688","1404.99","0.8789","0.0684"
"0.004","0.004","9.860","15.5960","1403.50","0.8764","0.0912"
"0.004","0.004","9.860","15.5960","1403.50","0.8764","0.0912"
"0.003","0.004","9.780","15.5960","1402.01","0.8755","0.0678"
"0.003","0.004","9.780","15.5960","1402.01","0.8755","0.0678"
"0.004","0.005","9.820","15.6232","1401.49","0.8736","0.0905"
"0.004","0.005","9.820","15.6232","1401.49","0.8736","0.0905"
