"i","target_i","voltage","wind_velocity","rpm","tsr","efficiency"
"0.001","0.000","15.210","0.6152","2063.68","32.6691","573.0276"
"0.001","0.000","15.210","0.6152","2063.68","32.6691","573.0276"
"0.000","0.000","15.110","1.2372","2062.73","16.2373","0.0000"
"0.000","0.000","15.110","1.2372","2062.73","16.2373","0.0000"
"0.000","0.000","15.160","1.8612","2064.91","10.8049","0.0000"
"0.000","0.000","15.160","1.8612","2064.91","10.8049","0.0000"
"0.000","0.001","15.210","2.4760","2069.08","8.1384","0.0000"
"0.000","0.001","15.210","2.4760","2069.08","8.1384","0.0000"
"0.001","0.001","15.190","3.0888","2074.23","6.5400","4.5275"
"0.001","0.001","15.190","3.0888","2074.23","6.5400","4.5275"
"0.001","0.001","15.270","3.7196","2078.83","5.4429","2.6097"
"0.001","0.001","15.270","3.7196","2078.83","5.4429","2.6097"
"0.001","0.002","15.290","4.3540","2081.53","4.6559","1.6271"
"0.001","0.002","15.290","4.3540","2081.53","4.6559","1.6271"
"0.001","0.002","15.250","4.9780","2081.33","4.0719","1.0816"
"0.001","0.002","15.250","4.9780","2081.33","4.0719","1.0816"
"0.001","0.002","15.320","5.5988","2077.59","3.6139","0.7652"
"0.001","0.002","15.320","5.5988","2077.59","3.6139","0.7652"
"0.001","0.003","15.220","6.2480","2074.90","3.2342","0.5470"
"0.001","0.003","15.220","6.2480","2074.90","3.2342","0.5470"
"0.001","0.003","15.150","6.8720","2064.62","2.9260","0.4111"
"0.001","0.003","15.150","6.8720","2064.62","2.9260","0.4111"
"0.001","0.003","15.090","7.4804","2055.19","2.6757","0.3167"
"0.001","0.003","15.090","7.4804","2055.19","2.6757","0.3167"
"0.001","0.004","14.910","8.1156","2044.92","2.4540","0.2447"
"0.001","0.004","14.910","8.1156","2044.92","2.4540","0.2447"
"0.002","0.004","14.930","8.7496","2043.43","2.2745","0.3918"
"0.002","0.004","14.930","8.7496","2043.43","2.2745","0.3918"
"0.002","0.004","14.860","9.3896","2040.65","2.1166","0.3149"
"0.002","0.004","14.860","9.3896","2040.65","2.1166","0.3149"
"0.002","0.004","14.840","10.0100","2044.18","1.9888","0.2599"
"0.002","0.004","14.840","10.0100","2044.18","1.9888","0.2599"
"0.002","0.005","14.860","10.6312","2042.23","1.8708","0.2170"
"0.002","0.005","14.860","10.6312","2042.23","1.8708","0.2170"
"0.003","0.005","14.960","11.2440","2039.17","1.7662","0.2772"
"0.003","0.005","14.960","11.2440","2039.17","1.7662","0.2772"
"0.003","0.006","14.770","11.8732","2037.61","1.6713","0.2323"
"0.003","0.006","14.770","11.8732","2037.61","1.6713","0.2323"
"0.003","0.006","14.720","12.5216","2038.62","1.5856","0.1976"
"0.003","0.006","14.720","12.5216","2038.62","1.5856","0.1976"
"0.004","0.006","14.750","13.1536","2039.27","1.5099","0.2276"
"0.004","0.006","14.750","13.1536","2039.27","1.5099","0.2276"
"0.004","0.007","14.600","13.7548","2037.79","1.4428","0.1970"
"0.004","0.007","14.600","13.7548","2037.79","1.4428","0.1970"
"0.005","0.007","14.790","14.3644","2037.33","1.3813","0.2192"
"0.005","0.007","14.790","14.3644","2037.33","1.3813","0.2192"
"0.005","0.008","14.680","15.0188","2039.08","1.3222","0.1902"
"0.005","0.008","14.680","15.0188","2039.08","1.3222","0.1902"
"0.006","0.008","14.660","15.6456","2038.16","1.2687","0.2017"
"0.006","0.008","14.660","15.6456","2038.16","1.2687","0.2017"
"0.006","0.008","14.690","15.6400","2040.01","1.2703","0.2021"
"0.006","0.008","14.690","15.6400","2040.01","1.2703","0.2021"
"0.007","0.008","14.640","15.6540","2050.70","1.2758","0.2345"
"0.007","0.008","14.640","15.6540","2050.70","1.2758","0.2345"
"0.007","0.008","14.730","15.6564","2058.30","1.2803","0.2358"
"0.007","0.008","14.730","15.6564","2058.30","1.2803","0.2358"
"0.007","0.009","14.850","15.6712","2060.37","1.2804","0.2372"
"0.007","0.009","14.850","15.6712","2060.37","1.2804","0.2372"
"0.008","0.009","14.660","15.6792","2060.75","1.2800","0.2671"
"0.008","0.009","14.660","15.6792","2060.75","1.2800","0.2671"
"0.008","0.009","14.740","15.6832","2061.22","1.2800","0.2683"
"0.008","0.009","14.740","15.6832","2061.22","1.2800","0.2683"
"0.008","0.010","14.640","15.6636","2056.13","1.2784","0.2675"
"0.008","0.010","14.640","15.6636","2056.13","1.2784","0.2675"
"0.009","0.010","14.630","15.6772","2054.63","1.2764","0.3000"
"0.009","0.010","14.630","15.6772","2054.63","1.2764","0.3000"
"0.009","0.010","14.700","15.6828","2056.98","1.2774","0.3011"
"0.009","0.010","14.700","15.6828","2056.98","1.2774","0.3011"
"0.010","0.011","14.530","15.6456","2057.82","1.2809","0.3330"
"0.010","0.011","14.530","15.6456","2057.82","1.2809","0.3330"
"0.010","0.012","14.620","15.6452","2055.66","1.2796","0.3351"
"0.010","0.012","14.620","15.6452","2055.66","1.2796","0.3351"
"0.011","0.012","14.460","15.6660","2053.51","1.2766","0.3632"
"0.011","0.012","14.460","15.6660","2053.51","1.2766","0.3632"
"0.011","0.012","14.470","15.6752","2051.91","1.2748","0.3628"
"0.011","0.012","14.470","15.6752","2051.91","1.2748","0.3628"
"0.012","0.013","14.480","15.6980","2048.08","1.2706","0.3944"
"0.012","0.013","14.480","15.6980","2048.08","1.2706","0.3944"
"0.012","0.013","14.410","15.6956","2041.58","1.2668","0.3925"
"0.012","0.013","14.410","15.6956","2041.58","1.2668","0.3925"
